timestamp,trace_id,experiment_id,session_id,build_request_id,server_id,rag_enabled,dynamic_skill_selection,skill_selection_variant,variant_id,service,stage,event_name,status,duration_ms,metrics,tags,_id,error_code,provider,model
2026-05-23T06:54:56.473Z,492986b3-3fd3-46f0-b205-f87b11671930,track-mapr-metrics-matrix-smoke-20260523-03,session-track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1,track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1-492986b3,a5762210-9737-471f-bd66-8e5121a47711,,,,,mcp-gen,input_normalization,mcp_create_input_normalized,success,21,"{""input_type"":""text"",""input_length"":4192,""input_hash"":""19fef92c60ca70ac"",""host_port"":4000,""rag_enabled"":""true"",""dynamic_skill_selection"":""true"",""skill_selection_variant"":""dynamic"",""variant_id"":""dynamic-rag-on""}",{},6a114f40e0e6aff34bd5154b,,,
2026-05-23T06:55:16.463Z,b724ba47-c0e4-4f04-b464-2aa1bea927b8,track-mapr-metrics-matrix-smoke-20260523-03,,track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1-492986b3,a5762210-9737-471f-bd66-8e5121a47711,,,,,mcp-gen,generation,generation_feedback_recorded,success,19958,"{""validation_passed"":true,""validation_error_count"":0,""selected_skill_ids"":[""openapi_anti_contamination"",""openapi_system"",""openapi_user_message""],""selected_skill_count"":3,""token_count"":9777,""llm_calls"":1,""required_retries"":0,""code_quality"":{""hasProperErrorHandling"":false,""usesHelperFunctions"":false,""structureCorrect"":true,""authImplemented"":true,""zodSchemasValid"":false}}",{},6a114f54e0e6aff34bd5154d,,,
2026-05-23T06:55:16.472Z,492986b3-3fd3-46f0-b205-f87b11671930,track-mapr-metrics-matrix-smoke-20260523-03,session-track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1,track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1-492986b3,a5762210-9737-471f-bd66-8e5121a47711,true,true,dynamic,dynamic-rag-on,mcp-gen,generation,openapi_generation_completed,success,19958,"{""input_length"":4192,""input_hash"":""19fef92c60ca70ac"",""generated_length"":14889,""prompt_token_estimate"":9777,""llm_calls"":1,""retry_count"":0,""validation_passed"":true,""selected_skill_count"":3,""selected_skill_ids"":[""openapi_anti_contamination"",""openapi_system"",""openapi_user_message""]}",{},6a114f54e0e6aff34bd5154e,,,
2026-05-23T06:55:17.087Z,492986b3-3fd3-46f0-b205-f87b11671930,track-mapr-metrics-matrix-smoke-20260523-03,session-track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1,track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1-492986b3,a5762210-9737-471f-bd66-8e5121a47711,,,,,mcp-gen,build,mcp_status_updated,success,,"{""status"":""building"",""has_container_id"":false,""build_log_count"":1}",{},6a114f55e0e6aff34bd5154f,,,
2026-05-23T06:55:17.089Z,492986b3-3fd3-46f0-b205-f87b11671930,track-mapr-metrics-matrix-smoke-20260523-03,session-track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1,track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1-492986b3,a5762210-9737-471f-bd66-8e5121a47711,,,,,mcp-gen,docker,docker_build_completed,success,14,"{""docker_build_success"":true,""image"":""etheralsystem-docker-manager"",""image_already_exists"":true,""build_log_count"":1}",{},6a114f55e0e6aff34bd51550,,,
2026-05-23T06:55:18.145Z,492986b3-3fd3-46f0-b205-f87b11671930,track-mapr-metrics-matrix-smoke-20260523-03,session-track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1,track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1-492986b3,a5762210-9737-471f-bd66-8e5121a47711,,,,,mcp-gen,docker,container_start_completed,success,1070,"{""container_start_success"":true,""host_port"":4000,""container_port"":3000,""image"":""etheralsystem-docker-manager""}",{},6a114f56e0e6aff34bd51551,,,
2026-05-23T06:55:18.153Z,492986b3-3fd3-46f0-b205-f87b11671930,track-mapr-metrics-matrix-smoke-20260523-03,session-track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1,track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1-492986b3,a5762210-9737-471f-bd66-8e5121a47711,,,,,mcp-gen,build,mcp_status_updated,success,,"{""status"":""created"",""has_container_id"":true,""build_log_count"":3}",{},6a114f56e0e6aff34bd51552,,,
2026-05-23T06:56:02.161Z,492986b3-3fd3-46f0-b205-f87b11671930,track-mapr-metrics-matrix-smoke-20260523-03,session-track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1,track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1-492986b3,a5762210-9737-471f-bd66-8e5121a47711,,,,,mcp-gen,build,mcp_status_updated,success,,"{""status"":""running"",""has_container_id"":true,""build_log_count"":3}",{},6a114f82e0e6aff34bd51553,,,
2026-05-23T06:56:02.163Z,492986b3-3fd3-46f0-b205-f87b11671930,track-mapr-metrics-matrix-smoke-20260523-03,session-track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1,track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1-492986b3,a5762210-9737-471f-bd66-8e5121a47711,,,,,mcp-gen,build,mcp_create_completed,success,65711,"{""build_total_latency_ms"":65711,""input_type"":""text"",""host_port"":4000,""container_port"":3000,""docker_status"":""running"",""rag_enabled"":""true"",""dynamic_skill_selection"":""true"",""skill_selection_variant"":""dynamic"",""variant_id"":""dynamic-rag-on""}",{},6a114f82e0e6aff34bd51554,,,
2026-05-23T06:56:08.287+00:00,492986b3-3fd3-46f0-b205-f87b11671930,track-mapr-metrics-matrix-smoke-20260523-03,session-track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1,track-mapr-metrics-matrix-smoke-20260523-03-dynamic-rag-on-jsonplaceholder-input-doc-r1-492986b3,a5762210-9737-471f-bd66-8e5121a47711,true,true,dynamic,dynamic-rag-on,chatbot-backend,langgraph_stream,langgraph_stream_completed,success,128561,"{""langgraph_stream_duration_ms"":128561,""langgraph_partial_event_count"":15,""langgraph_complete_event_count"":6,""langgraph_error_event_count"":0,""server_created"":true}",{},,,,
